id,familyName,givenName,familyNameSoundex,givenNameSoundex,dateOfBirth,address,postcode,source,type,deceased
1,Davis,Benjamin,D12,B525,1938-02-21,59214 Kendra Crest Suite 657,16662,Brown-Peterson,Jewellery designer,False
2,Espinoza,Lisa,E2152,L2,1939-09-15,246 Kelsey Inlet,57638,Sanchez Inc,Arts administrator,True
3,Jenkins,Brandy,J5252,B653,2019-04-03,413 Arellano Knolls,71635,Collins-Nielsen,Structural engineer,False
4,Rogers,Charles,R262,C642,2009-05-26,3617 Norton Dale,76462,"Smith, Austin and Aguilar",Agricultural engineer,False
5,Jacobson,Crystal,J2125,C6234,1920-11-10,3022 Francis Track,60930,Miller-Sanchez,Hotel manager,True
6,Campbell,Frank,C514,F652,1986-04-27,814 Santos Cove,85322,"Mcintosh, Hancock and Payne",Corporate investment banker,False
7,Pineda,Nathan,P53,N35,1944-10-12,032 Jamie Village,47732,"Williams, Sheppard and Sanchez","Producer, television/film/video",True
8,Martinez,Tammy,M6352,T5,1941-12-23,790 Ross Mission,28401,Mann-Huang,Chartered loss adjuster,False
9,Mendoza,Robert,M532,R163,2005-04-06,86477 Scott Estate Suite 881,60364,Davis-Turner,Technical author,False
10,Scott,Joel,S23,J4,1999-02-20,27190 Mason Station Apt. 139,06864,Cox LLC,Occupational therapist,True
11,Mcbride,Gregory,M2163,G626,1947-12-20,57724 Denise Locks Suite 778,22799,Lee-Williams,Cartographer,False
12,Jackson,Jonathan,J25,J535,1944-10-22,0356 Omar Estate,70051,Shah-Rodgers,Outdoor activities/education manager,False
13,Wilson,Heather,W425,H36,2022-05-17,5651 Lopez Terrace Suite 644,40015,Smith Inc,Occupational psychologist,True
14,Hamilton,Christopher,H5435,C62316,1998-06-22,5009 Brandon Valleys Suite 806,41155,Flores and Sons,Research scientist (maths),True
15,Nelson,Teresa,N425,T62,1981-10-20,33136 Laura Gateway,02964,Smith-Hutchinson,Air broker,False
16,Williams,Patricia,W452,P362,2007-12-04,50553 Matthew Locks,62243,Mann-Huang,Manufacturing engineer,True
17,Garcia,Melanie,G62,M45,1915-01-28,270 Donald Bypass,78590,"Gibson, Fisher and Pierce",Manufacturing engineer,True
18,Walker,Brett,W426,B63,1920-10-30,91521 Evan Place Suite 863,05523,"Mcintosh, Hancock and Payne",Chiropodist,True
19,Washington,Derrick,W25235,D62,1962-12-02,767 Joseph Land Apt. 744,99649,"Smith, Austin and Aguilar",Diplomatic Services operational officer,True
20,Rice,Deborah,R2,D16,1935-06-05,9581 Paul Island Suite 175,02242,"Sharp, Frye and Mathis",Financial controller,False
21,Flores,Kenneth,F462,K53,1958-08-31,98030 Joseph Skyway,38432,Brown Ltd,Manufacturing systems engineer,False
22,Wade,Kathleen,W3,K345,1988-03-17,4360 Matthew Inlet Suite 318,05339,Shah-Rodgers,Cartographer,False
23,Fisher,Sarah,F26,S6,1978-10-02,825 Michael Springs Suite 725,30797,"Sanders, Armstrong and Rodriguez","Clinical scientist, histocompatibility and immunogenetics",True
24,Cook,Alexis,C2,A42,2013-12-24,53889 Arnold Isle,78903,"Chandler, Hendricks and Davis",Manufacturing engineer,False
25,Oneal,Ricky,O54,R2,1989-12-18,421 Ashley Roads,73276,Solis-Morris,Corporate investment banker,True
26,Ruiz,Jamie,R2,J5,1976-12-19,6727 Carrie Garden,61646,Martin-Carter,Financial controller,False
27,Cox,Michelle,C2,M24,1987-09-17,43458 Christina Plain Apt. 775,81200,Brown Ltd,Air broker,True
28,Bowman,Brandon,B5,B6535,1999-09-05,619 Robert Plaza Suite 597,64518,Taylor-Gentry,Arts administrator,False
29,Colon,Alison,C45,A425,1938-04-27,03042 Gibson Highway,87013,"Sanders, Armstrong and Rodriguez",Corporate investment banker,False
30,Fernandez,Kimberly,F6532,K5164,2018-02-17,997 Melanie Inlet Apt. 485,23734,"Adams, Davis and Miller","Librarian, public",True
31,Terry,Michael,T6,M24,2004-12-06,8333 Bryant Spurs,27403,Brown-Peterson,Broadcast engineer,True
32,Lewis,Charles,L2,C642,2018-07-24,9021 Simmons Wall Suite 797,65235,Walker-Arnold,Broadcast engineer,True
33,Waters,Sean,W362,S5,2014-04-19,7454 Marc Station,82020,James-Dickerson,Broadcast engineer,False
